"Exp","DayOfImaging","Watering.Regime","Mean","NSFTV.ID"
"E2",14,"Control",117096,"NSFTV_647"
"E3",1,"Control",11911.5,"NSFTV_647"
"E3",1,"Low water",11542,"NSFTV_647"
"E3",2,"Control",14300,"NSFTV_647"
"E3",2,"Low water",13764,"NSFTV_647"
"E3",3,"Control",16882.5,"NSFTV_647"
"E3",3,"Low water",16236,"NSFTV_647"
"E3",4,"Control",21008.5,"NSFTV_647"
"E3",4,"Low water",19181,"NSFTV_647"
"E3",5,"Control",28350,"NSFTV_647"
"E3",5,"Low water",22768.5,"NSFTV_647"
"E3",6,"Control",33488.5,"NSFTV_647"
"E3",6,"Low water",27035,"NSFTV_647"
"E3",7,"Control",39039,"NSFTV_647"
"E3",7,"Low water",33070,"NSFTV_647"
"E3",8,"Control",53837.5,"NSFTV_647"
"E3",8,"Low water",41523,"NSFTV_647"
"E3",9,"Control",63980.5,"NSFTV_647"
"E3",9,"Low water",47474,"NSFTV_647"
"E3",10,"Control",76968,"NSFTV_647"
"E1",0,"Control",11986,"NSFTV_647"
"E1",0,"Low water",12969,"NSFTV_647"
"E1",1,"Control",15360,"NSFTV_647"
"E1",1,"Low water",16742,"NSFTV_647"
"E1",2,"Control",19871,"NSFTV_647"
"E1",2,"Low water",20584,"NSFTV_647"
"E1",3,"Control",27651,"NSFTV_647"
"E1",3,"Low water",24616,"NSFTV_647"
"E1",4,"Control",34517,"NSFTV_647"
"E1",4,"Low water",31901,"NSFTV_647"
"E1",5,"Control",38902,"NSFTV_647"
"E1",5,"Low water",36270,"NSFTV_647"
"E1",6,"Control",50225,"NSFTV_647"
"E1",6,"Low water",42223,"NSFTV_647"
"E1",7,"Control",65166,"NSFTV_647"
"E1",7,"Low water",49698,"NSFTV_647"
"E1",8,"Control",77468,"NSFTV_647"
"E1",8,"Low water",56498,"NSFTV_647"
"E1",9,"Control",93109,"NSFTV_647"
"E1",9,"Low water",64246,"NSFTV_647"
"E1",10,"Control",113845,"NSFTV_647"
"E1",10,"Low water",72536,"NSFTV_647"
"E1",11,"Control",131583,"NSFTV_647"
"E1",11,"Low water",80771,"NSFTV_647"
"E1",12,"Control",147926,"NSFTV_647"
"E1",12,"Low water",81422,"NSFTV_647"
"E1",13,"Control",171984,"NSFTV_647"
"E1",13,"Low water",93243,"NSFTV_647"
"E1",14,"Control",205639,"NSFTV_647"
"E1",14,"Low water",96840,"NSFTV_647"
"E1",15,"Control",238647,"NSFTV_647"
"E1",15,"Low water",105486,"NSFTV_647"
"E1",16,"Control",275526,"NSFTV_647"
"E1",16,"Low water",108909,"NSFTV_647"
"E1",17,"Control",307627,"NSFTV_647"
"E1",17,"Low water",109947,"NSFTV_647"
"E1",18,"Control",354735,"NSFTV_647"
"E1",18,"Low water",113978,"NSFTV_647"
"E1",19,"Control",401721,"NSFTV_647"
"E1",19,"Low water",107776,"NSFTV_647"
"E1",20,"Control",455024,"NSFTV_647"
"E1",20,"Low water",116952,"NSFTV_647"
"E2",17,"Control",162665,"NSFTV_647"
"E2",17,"Low water",82921,"NSFTV_647"
"E2",18,"Control",178267,"NSFTV_647"
"E2",18,"Low water",91647,"NSFTV_647"
"E2",19,"Control",202932,"NSFTV_647"
"E2",19,"Low water",98641,"NSFTV_647"
"E2",20,"Control",229198,"NSFTV_647"
"E2",20,"Low water",99965,"NSFTV_647"
"E2",14,"Low water",65789,"NSFTV_647"
"E2",15,"Control",127096,"NSFTV_647"
"E2",15,"Low water",67183,"NSFTV_647"
"E2",16,"Control",143160,"NSFTV_647"
"E2",16,"Low water",74901,"NSFTV_647"
"E2",23,"Low water",111593,"NSFTV_647"
"E2",21,"Low water",103141,"NSFTV_647"
"E2",22,"Control",282206,"NSFTV_647"
"E2",22,"Low water",106317,"NSFTV_647"
"E2",21,"Control",252130,"NSFTV_647"
"E3",22,"Low water",125051.5,"NSFTV_647"
"E3",21,"Control",486932,"NSFTV_647"
"E3",21,"Low water",120780,"NSFTV_647"
"E2",23,"Control",318805,"NSFTV_647"
"E3",22,"Control",549841,"NSFTV_647"
"E2",21,"Low water",155822,"NSFTV_643"
"E2",22,"Control",755787,"NSFTV_643"
"E2",22,"Low water",167956,"NSFTV_643"
"E2",23,"Low water",167998,"NSFTV_643"
"E1",3,"Control",29649,"NSFTV_643"
"E1",3,"Low water",27979,"NSFTV_643"
"E2",23,"Control",837307,"NSFTV_643"
"E2",21,"Control",693896,"NSFTV_643"
"E1",7,"Control",72885,"NSFTV_643"
"E1",7,"Low water",58856,"NSFTV_643"
"E1",8,"Control",100291,"NSFTV_643"
"E1",8,"Low water",71408,"NSFTV_643"
"E1",9,"Control",116466,"NSFTV_643"
"E1",9,"Low water",84322,"NSFTV_643"
"E1",10,"Control",140038,"NSFTV_643"
"E1",4,"Control",37387,"NSFTV_643"
"E1",6,"Low water",49928,"NSFTV_643"
"E1",20,"Control",608141,"NSFTV_643"
"E1",20,"Low water",116212,"NSFTV_643"
"E2",1,"Control",25326,"NSFTV_643"
"E2",1,"Low water",21833,"NSFTV_643"
"E2",2,"Control",31276,"NSFTV_643"
"E2",2,"Low water",29718,"NSFTV_643"
"E2",3,"Control",41794,"NSFTV_643"
"E2",3,"Low water",38060,"NSFTV_643"
