v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v
61164	43223	55226.5	91598	54080	59224	110114.5	167942	72323	90995	135531	84492	83664	84042	51983	99954	116588	140382	81976	84058	86284	122851	127552	62311	99330	117374	102942	104817	90903	48473	92784	129246	47680	91281.5	95512	103856	82965.5	91249	67900	73049	95153	49395	122258	57266	45301	44005	59312	96402	102934	76821	116224	127863	48831	66848	90306	97204	69056	60531	80851	60637	37767	96123.5	87365	35624	82352	93771	59577	140189	131197	67486	89837	62487	68078	69121	104898.5	66045	52659	72851	98184	78097	48878	19836	92544	96906	93634	51927	69259	53689	89393	129723	72364	82480	143021	66009.5	113952	67485	79250	96317	40744	101399	104098	79153	73543	65642	102432	44352	54742	26261	85340	112946	107092	91835	85824	106688	74578	83402	142755	115953	108767	131060	136575	47370	152239	159019	45209	44993	79900	103565	72157	132749	50544	91491	121640	129593	108890	82178	74523	90269.5	64266	55138	111949	40466	44186	175859	50068	98479	121336	77807.5	102253	136301	126395	77880	123598	102917	77688	74640	38263	97776	125724	64245	72688	90952	66956	78844	68684	46686	66080	43157	52520	72017	74567	164360	49209	114970	79815	87067	72916	147677	49642	65124	81321	125970	107058	64095	84958	93228	150079	144631	90443	83442	92168	78019	71032	65496	42989	113073	54606	40731	47200	61310	115587	143822	81545	56031	103431	81796	91338	49980	113192	138873	83928	79016	92716	80978	115299	91514	100723	105876	103911	128857	92165	53598	76944	91719	177471	79551	108165	143452	124548	55514	85612	105106	131420	113841	142819	110482	116394	85249	106291	96226	154886	77933	34265.5	125427	69038	54239	42809	82948	74238	159451	145044	104979	70923	103784	132436	54370	72762	57582	93734	40943	73021	149597	59074	36764	73859	144339	157708	53188	71985	70012	63380	65576	56293	99870	67180	115943	111976	90884.5	92380	91633	68421	85704.5	63005	57500	72419	61327	82456	64830	87176	143426	62295	74037	92278	89570.5	98857	63793	59648	75854	148187	53042	116241	44940	67611	113671	75018	85378	86975	47194	142716	50057	52353	149187	181615	81822	111915	70683	71504	74979	62984	39698.5	85482	109560.5	102182	122174.5	137797	83426	129159.5	85092.5	141707	57453.5	64714.5	69949	111878	71821.5	86046	122213	66494	33868	49268	100179	65075	130943	99626.5	67798	22926	56474	104018	51673	73036
67464	50027	63496.5	106030	62826	63817	118984.5	185691	81749.5	105419	160316	96524.5	85133	94488	52026	111399	130002	157375	100332	87316	98666	145100	149238	71616	99159	133708	112772	117578	103050	55242.5	99186	144056	55418	105148.5	110326	111892	93772	97655	77083.5	80885	105692	55173	141526	64633	36667	49543.5	64972.5	115310	112868	93671.5	142809	148991	56463	73110	102059	112347	76531	67335	93306	75650	39736.5	104510.5	101995	40052	86859	105345	66828	163402	144964	79292	94208	72293	72955	78879.5	119207.5	73501	58445	82281	107369	92011	56544	21190	96833	106188	97771.5	57072	77446	60320	94233	145446	83502	103838	156368	75580	123018	70074	91955	106819	43715	114476	125474.5	87831	78059	68601	113397.5	50739	59033	29564	95937	130035	117957	106819	102366	122028	82177	91624	168142	128123	132807	154450	159982	50406	181582	173136	47158	47105	91304	124052	80375	150091	57325	92454	146896	150169	125676	93371	86394	96257.5	76384	57585	118309	45208	46681	194251	53902	116056	133834	86344.5	97325	155323	137351	88057	142374	116771	92168	83717	41797	112862	137980.5	71904	78247	101100	74050	85789	76872	51603	74139	47899	58381	83991	76446	181810	52924	133135	83790	100124	87363	180056	51276	72326	86452	146011	120189	70225	96428	103868	170127	158501	100863.5	89634	108363	91630	76318	71372	44501	126635	59350	46750	51351	68130	139427	160759	99289	61670	116050	84233	113172	56409	127186	151400	99151	91480	104494	95356	130126	96600	116125	122551	121683	147469	102360	56946	58566	111715	201130	92856	129447	153884	143445	54641	111097	118586	145771	124268	163943	128441	133474	87596	109860	112895	161461	81843	32589.5	141603	73588	62053	49562	89146	84147	187659	138160	132863	86583	115080	140332	59597	77083	64349	106943	45871	93869	167359	69252	40906	80749	158711	179998	62548	83540	80603	78451	75855	59176	104205	70917	137482	132760	101792	104654	109802	74248	95206.5	68322.5	61249	79365	69323	95102	79312	98098	166548	69078	85367	105664	103913	110231	69297	64180	80753	163932	60665	132082	51239	76428	136200	84047	90832	99109	61029	156766	59721	58519	169965	209797	91012	116944	82319	78114.5	89396	72686.5	44249.5	89385	122331	116938	131066.5	156377	92787	142005.5	99489.5	155358	65279.5	74850.5	75296	126042	82932	98957	137332	75906	39275	56036	104685	72632	151811	100226.5	73654	25709	62513	113592	59254	75612
78598	55329	74258.5	119780	72931	69573	132722	218744	93723	124324	180193	111110.5	92629	117217	62821	136247	144113.5	178489.5	110026	104717	111790	163011	175035	83457.5	126433	145167.5	126551	138083.5	125222	64319	106368.5	152647	61667	119641	124676	128812	106082	114042	85857	98565	122756	65436	163352	68720	39659	56652.5	73878.5	134882	128140	113662	166070	175851	59543	81191	121255	132786	90875	68138	104425	96579	44437.5	122263.5	122225	45588	95311	123285	76834	182205	172189	93364	103138	83200	83357	92615.5	138382	62997	62436	100742	119957	112169	61888	24093	107059	126561	121370	58961	96533	69959	103516	168105	100337	125734	177890	88487	117837	75289	98761	120543	47748	139181	144548.5	93825	83988	77908	124536.5	56769	62998	33399	115849	147858	118089	125762	115060	142634	47505	100617	192383	146064	149905	184299	186289	60079	216888	204053	54186.5	54097	110655	139179	92684	183897	62725	112182	164522	164053	162271	112168	104421	110984.5	81859	66867	133504	52300	60503	219292	56296	132827	153303	102527.5	120806	131493	155609	106569	158878	132606	101928	91623	53381	128957	153689	80396	93139	112564	82667	99542	87687	60207	48670	52813	65223	100794	85325.5	206302	60304	156619	95895	121629	104263	215466	58248	76802	96889	164780	136286	76296	108153	128193	196921	179182	116351.5	105468	127389	104183	82153	82551	54327	152080	66855	54495	58571	78317	159835	178341	119682	75146	131640	95489	137173	65438	143947	170328	118145	108571	115291	118801	145266	109027	133748	141511	146819	167009	118425	63039	60551	117250	241943	106284	146793	183823	162350	65199	128078	130939	168664	135312	189012	154214	146059	103401	68343	134350	185546	99678	32130.5	165247	81248	76561	57669	99955	88118	215370	158631	165555	102635	130703	156684	69206	85825	73993	127675	54324	99947	192351	79438	42389	88160	187046	206158	75668	91815	108165	92539	83629	64944	113594	78806	159866	145909	116537	110675	124617	86877	111746	80181	70645.5	90516	74224.5	110284	90251	110645	190108	82603	100136	116743	123169.5	131360	76651	72753	86229	188272	66052	158419	60564	84460	155906	96892	100526	107682	70458	177363	69047	65514	202671	247970	105211	133557	98595	87256.5	107163	83914.5	51054.5	118179	145738.5	135237	157537.5	181169	99044	163798.5	120212	185860	72884	83827.5	85258	143127	91107.5	112476	160116	76232	47862	68455	116017	92912	174437	112923	89365	28186	70464	119524	69736	87910
91486	61796	83916.5	139815	76453	72180	157044.5	268545	95724.5	139914	199544	127597.5	115279	130328	68937	151639	165138.5	203263.5	125604	119652	138690	195397	204583	99286	145628	165516	150340.5	164382	145577	66505	122561	177154	70650	146417	155949	160644	123612	139609	101899	119330	151243	69869	184919	83033	45733	62649.5	87841.5	144352	154009	132561.5	178150	208995	67219	89551	142178	145380	104384	84522	119850	117175	54544	131988.5	133728	50423	107657	153698	91268	204227	198353	101031	120897	88447	97464	116887	156028.5	77846	66970	117529	141600	123013	65851	14939	122696	147118	146381.5	60480	107138	87643	121015	199034	112667	134589	222504	92941	140198	81461	109837	142092	54566	163690	162179.5	104877	99388	88734	139111.5	65980	46801	33431	145946	155222	138483	146918	123950	177759	55085	106676	207641	170576	168532	199633	223115	76331	251856	219490	63916.5	64766	138069	150323	116208	208016	73911	132673	199773	190776	192519	133177	121343	128795.5	89691	76900	154914	63094	75331	253071	57566	150147	176123	114210	142397	145634	187509	112174	175458	149122	113341	105906	66180	148535	189574	97287	103965	133778	90863	112743	93794	75660	53109	64224	70864	120748	105750	252934	72633	170193	111405	144112	112419	245830	71647	91082	119805	194980	161529	94858	117379	149865	228788	212102	133216.5	124158	156815	124939	97954	99490	72090	162355	81172	62141	56240	86607	175410	207917	137471	93396	147240	103874	149219	75577	177042	189693	133363	124088	131335	130886	165361	131597	152694	171732	167772	175240	132570	76686	76300	132091	265305	120136	165645	204919	190005	36616	138547	158636	189752	151445	223488	164495	175688	127905	73205	166569	210435	117634	36977	176149	94207	92714	60549	120530	103288	237769	180656	180240	121543	160323	191753	74339	92317	79420	148278	62808	116084	200167	103157	49724	102307	232576	238379	90010	105141	123249	114613	88562	78741	135323	87876	184643	161959	138005.5	119687	143084	106937	134125.5	91805	87068	110705	83916	119980.5	100932	132229	220506	99864.5	120984	128532	149307.5	155869	86475	90062	100711	227856	71978	194890	73062	95681	187990	102853	105413	126732	85533	208661	79193	72173	228759	288872	117096	163884	115115	102389	128629	96058	54758	127615	171334.5	157035	174293.5	208883	119158	187439.5	134866	219184	79138.5	96128.5	92937	167595	108168.5	129078	196454	91275	60219	77590	137422	108138	199118	131950.5	103369	28023	79356	140020	75517	113539
103030	67407	88738.5	154046	83690	89971	187135.5	301856	109143	152687	206180	149212	136177	156678	70533	170282	187689.5	238570	140642	139221	161241	223138	219394	110950	175717	188472	179061	199519	180232	73683	131668.5	205039	83037	162939	176100	190097	143750.5	161116	115053.5	134135	182993	79942	208383	99148	59461	74338	100095.5	161952	175382	150647	210464	233173	69777	104921	163908	167138	124253	103481	137821	140169	65156	151272	153012	57575	117568	173184	104878	240003	225890	107537	131456	106181	112276	134285.5	176896	90980	72873	135127	158637	131481	75742	20636	150483	163113	164845.5	65132	88790	95849	126825	241683	123333	149994	255218	102771	170656	89391	121775	160975	66913	189988	187524.5	119874	106677	102542	162594	75675	45902	37209	160317	177254	178120	166208	134162	207861	52110	127138	230281	193799	123511	224964	258762	82129	283718	255250	69160.5	72919	151322	179216	130573	241642	78153	155759	233583	209004	217858	146439	134482	152254	100728	91853	182716	67608	89547	301506	67690	170671	189668	130556	162022	177152	215161	139840	209804	181705	124958	130345	77450	171993	221350	110135	111790	156106	108142	129764	106159	92150	63534	71580	76473	131512	123960.5	283000	80213	180426	134470	170699	133067	266822	87785	104620	145667	233958	178170	102062	132617	157728	256820	228110	147196.5	136005	166306	140528	110531	119073	79493	176002	78189	64687	60746	91948	210952	233672	158064	104898	163720	114431	177583	81813	205015	225837	150615	145189	140320	139883	180254	151149	175487	190867	177667	212577	148521	82879	83226	146158	301739	126938	191020	240693	214564	44821	148813	186732	222187	189684	263070	198820	210883	147507	72382	193706	233198	138589	48492.5	222873	106118	103856	63526	147571	115718	272348	218980	206822	138233	190730	238846	80881	99903	87083	176208	70757	129843	220799	105373	55281	114853	267811	283220	102328	130269	135228	122870	104578	103066	160919	92170	213746	187098	144518	131652	171582	107886	153746	109033.5	94494	129611	95913.5	142407.5	116648	156009	248880	128513	110909	140612	162962.5	182687	95190	102963	124514	260366	79201	225325	82097	111904	210546	121220	119762	154159	101392	254170	97034	73378	261331	329211	127096	198064	126159	115672.5	151091	110573	55866.5	141530	198915.5	179998	194236.5	232921.5	139256	218140.5	126722.5	246652	89732	111602.5	99914	184096	128657.5	149411	220975	115867	75905	97743	156885	120796	226340	156065.5	120548	28835	91241	174972	86855	141221
118675	77895	104315	176971	100485	112010	220129	340810	119019	176335	247898	173685.5	155210	175707	81023	203446	220074.5	289724.5	154407	167742	177605	281478	251961	125080.5	198979	218722.5	203340.5	227168	208862	79777.5	149685.5	252653	100404	188254	202904	205129	167362	172698	135308	162479	211185	97316	242002	118204	76445	82529	110282	182055	207273	177134.5	252727	279094	85351	121363	192507	188985	137939	117724	163650	166863	75900	178325.5	178821	63000	133636	191650	119139	286842	246944	134762	151648	116379	133210	155331.5	213483	82257	79918	148207	179518	152220	94717	21372	184669	175385	190734.5	77898	113712	105503	139042	264529	139790	169647	285851	113944.5	187727	103962	137553	179496	81874	221170	222604	154856	126890	121137	190366	85387	65152	43268	185138	160805	201841	183559	159055	235552	55990	138583	276242	218348	123236	271759	294664	88118	360180	294499	78495.5	85146	168711	216081	145993	279870	89512	155207	270936	248243	251762	164354	149374	174715	119107	108619	225514	77407	103078	338014	79350	189500	217718	161205	176530	215182	254986	157659	243489	213906	145329	154068	73398	199984	253732	121672	130448	179461	125208	146319	112111	102454	70759	85469	90711	146581	137590.5	343353	82487	210284	139515	192521	145430	305611	103940	119272	171766	251136	189942	115536	153256	181548	299860	246757	167107.5	153493	187044	155416	122671	135175	86461	191346	75816	76842	71892	108700	239749	266429	186976	127440	190752	134428	196654	87934	226080	248366	170077	172092	165725	170599	194011	171442	201556	238228	208990	250546	174216	89134	93822	178984	351707	127047	230667	276237	243073	41835	170424	199371	262815	215722	296670	225057	252752	165815	84218	217962	273567	164363	55811.5	268023	118235	115580	74651	161793	133654	317131	263889	250979	162784	217665	269212	84892	123099	100925	190328	86631	157567	251581	118355	63020	132241	316154	311915	111774	154676	148549	124681	138178	112403	193247	99950	256336	213891	154996.5	150553	196299	127714	175349	123743.5	108833	142901	111672	157529	149760	176139	259890	162003.5	115904	153804	184901	208110	112346	108310	145066	305886	90421	246433	90945	132327	231935	132006	136399	178075	122584	289251	111344	90208	294846	385335	143160	221763	145967	142760	156399	126876	58189.5	167662	234217.5	210938	234677	269638.5	165957	253184	143459	283239	104354.5	126203	116322	214406	149299.5	172953	237820	124524	95498	113694	196638	159395	256788	181220.5	69469	31536	109830	205484	97690	154262
155068	90301	124238	203294	114841	123720	236858	406440	134066.5	194719	279941	202923.5	170280	204451	96896	248922	254544.5	331633	194370	190528	207196	316330	272167	148995	224422	252548	228312.5	265250	242338	87068.5	167819.5	295749	116805	222442	226008	230371	188694	194274	151219	184998	243003	115901	285357	133877	82570	90593.5	129896	204896	234851	206816.5	302337	317928	103526	146500	230275	215278	156448	130573	193024	192417	83153.5	209322	203833	70831	146686	219455	146911	321077	296909	159420	194551	132482	156972	184304.5	239823.5	90203	85611	157514	205094	183853	99884	23413	211427	216803	208954	97071	134406	112833	159180	295676	167049	204103	319696	137408.5	200189	121247	161293	201061	94179	250955	255027	170807	144335	132034	236334	107908	66682	53234	206304	166806	237311	205648	186251	269004	70620	148392	313052	238304	140689	307799	350680	99904	398988	327428	93596	104194	192227	239785	162223	336459	107720	181198	317009	281844	296764	196733	171559	192339.5	134732	124934	240828	93614	121697	376382	88961	227514	245852	189869.5	204664	255529	288296	187970	263890	240852	164196	168145	67039	232229	287482.5	125875	139753	209726	136698	157520	129627	99291	84778	102254	107659	166641	152096.5	388019	91224	256025	172677	216248	184508	352396	123115	137818	186431	277964	232342	141638	182097	197629	335643	287362	185180	177242	215272	165718	134752	149718	102778	200162	89861	89990	84270	128786	270982	316382	219604	144790	225437	152531	235531	97287	274814	292072	192160	197243	200689	208369	222986	202225	237980	293125	247226	270239	207745	103947	114570	210450	391828	152732	259675	300858	280981	45920	208733	212158	293964	238059	314692	271121	283680	194152	97680	262535	318371	186775	62142	305232	135703	134233	101069	174036	161588	355233	293322	281106	199691	242789	295333	101008	142257	117545	216167	99598	181848	238649	132298	65833	148013	373836	384412	129043	186272	176681	143974	156819	126993	220584	119774	303925	252966	170663.5	179343	227152	151267	192424.5	139626.5	113308.5	151719	121579.5	172076	172892	198560	256678	179305	134991	178723	192148	247744	126233	117956	161220	355837	97186	300365	104592	151376	257308	151580	154908	197170	141145	331907	116628	108814	343512	439910	162665	246386	169462	166480.5	184714	151134.5	72876.5	201259	272972	240441	269624.5	301845	189448	292770.5	163618.5	334325	120860.5	148261.5	133831	250563	166152	196523	288014	128712	114166	133324	202221	172067	309490	200723.5	69294	34111	125602	227267	114588	164189
171412	104462	153692.5	246778	123033	132954	258705	473217	161813	230635	321465	235006	200598	240730	115899	296988	287559.5	382933.5	226943	219492	238484	363193	334074	176613	266649	291859.5	276763.5	305777.5	275546	114793.5	189338	335135	126840	260323	263623	289255	213269.5	244459	181543	224115	294002	138255	348681	152483	98386	98674	149604.5	246306	277953	235961	355040	380457	122825	166154	269734	247523	196719	151053	221878	224000	89899	230958	246655	85643	167051	255013	173754	364676	338608	174891	210632	149903	170744	225850.5	276231.5	105221	107700	197651	244083	212919	110168	24506	230991	262590	212866.5	112523	192016	129160	196559	350974	191390	241716	366032	143866.5	227813	132252	180254	235123	114339	316531	299832.5	212022	167760	158335	261975.5	129667	77319	61123	246378	177357	283259	234610	220727	301078	87717	177721	336962	273373	152322	367463	409498	123288	467608	384474	109230	127517	231565	287948	198230	380323	148434	228163	372423	318862	317839	218958	198871	236727.5	158741	148538	262317	111724	147438	446844	97882	263419	292126	222866	236046	307163	350839	191441	282483	270343	186787	175035	83191	263111	317069	145926	160685	247172	173496	188495	149341	114898	97074	117954	107060	199182	184130.5	457055	106385	302676	205748	271122	209916	407546	143311	163943	216648	337580	275705	154670	209901	243125	382954	305129	211786	198905	251161	187620	155550	178918	115613	173667	101823	109139	100600	152040	321852	365441	263130	176807	265276	173666	263639	104519	324349	331158	218795	226272	240535	227986	245852	243174	301127	323512	274381	312460	254424	116584	143872	234690	485644	175996	313299	314110	332876	49125	257774	249329	360378	287429	383560	307538	316634	236489	115068	291210	386290	214768	69432.5	350145	160826	162285	109946	211110	169716	432287	333756	358336	230256	282911	327351	111937	166477	136844	264264	116898	208186	284555	165191	77398	170718	427742	430678	150126	213816	214896	175227	175367	147588	248373	141467	364386	293465	193695.5	187979	257676	184889	221921	166747	134874	164562	142593.5	207842	187284	236626	296999	208692	180746	215548	215264	279488	129160	150548	183460	405185	111382	362858	131960	179131	303840	165959	172428	233119	163787	375227	125430	124187	415466	492412	178267	303690	206901	199713	217705	172469.5	89526.5	241486	318222.5	294835	318484	361498	218233	329858	190910.5	417879	144126.5	180326.5	146468	272701	190949	243362	358308	140668	131980	155880	246403	187006	344684	246013	78208	38434	164558	262907	131400	199833
195603	111379	168907	268323	144098	139931	287566.5	530784	181919.5	271725	330351	259168	221320	284836	136554	328965	320563.5	423225.5	239674	255763	267950	417459	382212	194974.5	299587	328963	300043.5	349686	304191	130078.5	212755	360549	138302	292025	289606.5	327746	236481	264965	204597	262584	352947	156052	377562	172360	109513	121223.5	170975	283597	295537	271559	415226	419481	131284	185346	303656	278485	221127	179865	258526	237840	103125	245264	255302	94643	174055	284742	196568	423702	377488	190670	221892	153622	194212	247286.5	309599.5	114016	102893	236095	275771	233754	123720	22790	273592	277807	226314.5	125491	224276	145573	223172	389532	205346	261584	388638	157212.5	252696	142788	193408	253986	137478	349494	333734.5	242494	181808	184337	284038	138464	91520	67239	247464	199523	324480	265678	229510	333089.5	93576	221057	387941	296991	164253	402842	463042	136134	519111	381083	120574.5	138005	273579	312541	223470	426395	186258	240027	411935	364302	343910	224139	217169	261790.5	181667	172256	304715	117396	157576	509470	106674	284515	302945	245766	253107	348392	410029	196904	319232	312174	202821	205196	92825	295317	369840	153673	157436	271741	191754	221619	162073	121402	103970	129634	110865	218393	217522.5	511925	120608	336729	235953	309544	224689	437552	158796	180850	251807	370457	297573	168280	224987	260154	435933	351434	239801	210322	245264	208228	177213	186188	121284	188004	111879	123765	109355	169699	353988	424596	311280	176497	302355	183361	289437	110470	336306	369631	236391	256446	272025	266715	277667	283364	326550	366763	299899	365445	290919	137257	160417	259231	561783	191893	350889	344355	374491	60192	290199	294605	398717	324669	405489	342998	355376	266519	125194	320195	405099	229015	75493.5	414714	184547	171661	113925	242999	175388	476056	367983	391648	255083	331629	372420	130442	183016	140734	281126	134575	230451	329911	187893	86887	187627	464899	472662	167199	231400	254993	202347	192967	179481	268741	163521	405299	325558	204440.5	194521	294449	197819	239049.5	181630.5	147860.5	190587	156011.5	207995.5	204326	260758	318703	192503	186608	230163	206406	311708	136534	164205	204889	476063	128237	390206	142874	204875	363486	192568	184647	273621	196284	429134	149957	135042	443772	583610	202932	358534	226805	220989	244142	195276	100039	278720	356091.5	335743	346840	415264.5	256532	373389.5	211002.5	448557	158380	203579.5	166845	310394	204631	278369	415624	161882	159925	172856	287359	197061	402198	283289	93749	45036	189388	305596	154148	239453
228066	125484	189093	298838	165299	153236	324392	581059	205419	292031	371057	291776	241007	316328	145099	372605	341903	481731	273186	311314	290583	473013	437634	215480.5	338621	374141	326638	396294	349477	141274.5	236482	407442	158453	324096.5	332211	349279	268769	284201	220845	292943	405832	171569	403969	189208	126307	133478	188948.5	311678	326733	302042	458749	451352	136927	211098	349191	311309	239321	203381	283602	267123	111136	270093	296747	103098	196741	305073	219861	481929	433794	206518	247402	173803	223277	251760.5	345534.5	123047	116569	262283	301529	263217	138873	24871	330906	311076	237738.5	138007	250130	151904	244312	404118	231570	280630	431249	176838	286540	152351	217468	283181	151482	398745	363770	273161	202806	182933	319413.5	151534	108264	78320	266957	214141	353236	235149	242710	369345	104900	247144	442064	316144	183063	484372	509756	146536	592673	429035	141251.5	144650	291224	307572	248699	487083	190521	278657	458034	420310	380169	226736	234393	279173.5	206847	194208	334641	127651	167501	568351	116287	313165	352963	296907	276981	387356	438806	225673	358782	353625	227475	218122	108495	314051	415540	165312	184879	312853	205671	241153	173350	129368	109570	148113	125115	235165	239364.5	571479	103845	369081	250994	334492	255376	524674	167948	192656	281100	409372	316267	184390	248236	293087	490927	389680	271991.5	231127	253292	249945	200714	209929	133006	209983	115369	145845	126361	203885	409597	462511	347293	208739	346039	191082	320429	120516	392007	398923	262870	292218	298202	291667	314325	309387	379460	399271	326648	410834	317293	151992	185710	288827	616964	218888	381679	369553	429441	67097	318063	336009	445100	367399	441232	385359	396078	299672	134481	372197	477211	224502	85297	450407	200104	194285	126804	250421	193752	558288	408684	432050	283386	343969	429884	133698	214036	153772	309969	147094	268762	390398	215329	100690	212685	540552	521698	145410	264500	282194	212207	224391	194527	326818	184707	463055	375172	214220.5	217432	332055	209239	255568.5	194637.5	158122	205883	176298.5	224625	234318	314384	374397	245952	192607	238447	227121	347269	157124	175312	238000	498246	144020	452226	145928	228202	406701	211409	200816	305285	225428	463470	173344	153924	496442	623987	229198	370689	252246	260802.5	279189	223686.5	112218.5	313223	396515	356415	381863.5	475440.5	254096	430595.5	243261	506815	171484	227099.5	193623	369086	222205	307564	447953	178890	181373	173935	326656	225299	460839	308958	107324	50897	219459	335276	169783	263251
14076	7151	10499	10947	7201	13681	15910	13426	13734	9768	14762	7902	12529	11082	14690	10490	12849	13141	14776	10591	10443	8516	12212	9754	11525	11745	11122	10415	11638	11793	15924	13005	6900	7065	12537	9158	9940	10603	9688	10341	11550	8192	15748	12546	7827	11869	9264	10626	11476	15039	12357	11018	8771	8429	7480	11466	11620	13743	6078	9725	13120	10456	12087	8590	12074	14642	7586	13661	15014	11886	13466	8349	12005	11744	9314	11014	9862	13210	8093	11020	8147	7354	13840	10324	15399	11394	11545	11802	11023	18460	6691	12791	15396	13011	9666	15607	9689	12765	12160	13061	10365	15217	11902	5756	14638	11026	10071	5664	16435	13262	11433	13332	14439	12689	13180	14548	10788	12363	12737	14606	13984	12184	12590	16708	8081	13932	10659	13261	12744	8504	10935	8461	15530	14747	13870	9899	8575	12942	13233	8002	16665	6547	7601	12606	16787	14602	18183	14422	13635	17164	16368	11578	17999	10940	13598	10577	15244	7181	13153	15913	15944	10587	11853	9995	9782	6877	15402	7870	9020	11610	12608	13389	9045	12630	14132	11391	14827	13255	9739	5051	11935	19704	14508	12444	10591	9053	15364	8201	10140	9591	12885	13069	7899	9906	15187	11676	7601	8138	8260	9889.5	15318	10415	11791	11231.5	10630	14949	14906	12782	10778.5	10971	13816	11149	10134	10075	18835	9401	14010	10827	13605	14235	10219	9611	15156	12695	14398	10897.5	14492.5	11167	17462.5	10636	12395	14733.5	16202.5	13928	18899	10124.5	16269.5	8963.5	15697	14454	17729	10771	9101	15669	9425	9471	8420	8891	11742	16726	17423	14499	12132.5	10108	18616	10986	7781	13371	12188	9614	13322	12696.5	13003.5	7291	8437	18610	10475	9371	13067.5	16887.5	7854.5	7587	11824	16195	12544	8893	10294	11497	15932	14279	9510	13168	11592	11188	11725	13647	11369	10205	10252	19628	15105	8741	12980	8499	10408.5	8596.5	7597	11659	10571	9893	13342	8600.5	8049	13107.5	10631.5	16180	12646	9555	7378	11288	7349	14700	14536	9789.5	15502	8640	9597	8993	8549	8923	12357	7892	9356	12572	14955	15146	10734	14718	18286	8050	11890	13952	10547	9353	12018	10094	11043	11352	12423	12926	10059	12905	13235	8574	9930	11621	12136	9285	11130
17082	9463	12076	13006	8538	15102	17089	18358	15062	10045	15734	9658	14019	16690	15227	12760	16778	14939	20266	13638	13326	11117.5	15387	12018	11483	15205	14585	13719	16642	15933	19161	15323	8735	8736	16525	10290	13641	11610	11823	14048	12570	9856	16872	13989	10188	13268	11621	13915	13774	19022	15813	13766	10684	9134	9655	15087	13461	15943	7422	13188	15353	12288	16154	8486	15393	20039	9644	14950	17211	12371	15913	8803	12369	13797	10373	10884	12345	15380	10423	15417	8947	8319	15486	13259	18768	12608	15826	15369	13723	21873	9114	14534	19176	15781	13801	16792	12362	14238	15269	14788	15208	16419	14547	8894	17861	12953	12074	7159	21333	18303	15722	18062	18526	18530	12712	17469	13732	15286	13379	16716	15625	12228	13874	12308	11758	18681	13673	15181	14685	10390	13650	7873	21011	18665	17338	11537	9512	13697	14527	9687	21759	8278	8684	16439	19215	17114	16792	16470	17574	19298	20196	14983	21843	11645	19151	11156	18418	9888	16139	17937	20847	12790	15162	11860	11234	8472	15881	8832	11607	13646	13289	17541	10689	11527	16294	15172	17241	17578	10358	6564	17320	24377	20470	15099	12465	11679	20228	10361	13626	12175	16718	14959	9210	11819	15976	16288	10204	9350	9920	11410	19861	12875	14641	14258	14059.5	16955	20500	14399	13786	13447	16807	12995	11972	12368	24157	11322	17526	13927	19198	19936	13370	10275	17233.5	15758.5	14843	11859.5	17823.5	13588.5	20929.5	12807	13902	15994	21933	17334.5	21778	13209	20859.5	10777	16980	17418	18891	13306.5	10489	21194	10331	12548	9726	9918.5	12193	21498	21214	19104	15284.5	13288.5	24651	10457	7594	17743	15120	11642.5	16007.5	16119	15756.5	9747	9367	22408	12768	9814	16708	19168.5	10504	9377	12720	21330	17029	12242	13288	16260	17110	17527	11664	14899	12931	14558	15129	14731	14877	11844	13396	22589	17458	12802	15437	11180	14278	11333.5	10181	12415	13426	10927.5	16244	10815	9938	16141	13893	18748	13783	12952	9602	10930	8861	17500	18946	11911.5	19272	12433	12482	12050	10498	10672	14231	9889	12216	16051	20236	21819	12896	19874	21500	10532	13594	16873	14115	9728	14659	10894	14108	14788	14942	15330	13979	16436	16364	12495	10858	13827	14862	12092	13537
